InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country
576653,22960,JAM MAKING SET WITH JARS,48,2011-11-16 10:45:00,3.75,14156,EIRE
578833,23526,WALL ART DOG LICENCE ,1,2011-11-25 15:23:00,12.46,15287,United Kingdom
558876,23191,BUNDLE OF 3 RETRO NOTE BOOKS,6,2011-07-04 13:36:00,1.65,17841,United Kingdom
548648,21755,LOVE BUILDING BLOCK WORD,6,2011-04-01 13:20:00,5.95,12949,United Kingdom
581238,22469,HEART OF WICKER SMALL,1,2011-12-08 10:53:00,4.13,15287,United Kingdom
552033,20975,12 PENCILS SMALL TUBE RED RETROSPOT,48,2011-05-05 18:36:00,0.65,14776,United Kingdom
568944,22594,CHRISTMAS GINGHAM TREE,12,2011-09-29 14:50:00,0.85,16589,United Kingdom
555896,23254,CHILDRENS CUTLERY DOLLY GIRL ,6,2011-06-07 16:04:00,4.15,15640,United Kingdom
541980,21520,BOOZE & WOMEN GREETING CARD ,12,2011-01-24 15:09:00,0.42,12421,Spain
540374,21670,BLUE SPOT CERAMIC DRAWER KNOB,12,2011-01-06 17:19:00,1.25,15845,United Kingdom
581498,23564,EGG CUP MILKMAID INGRID,1,2011-12-09 10:26:00,2.46,15287,United Kingdom
562553,22379,RECYCLING BAG RETROSPOT ,3,2011-08-05 16:34:00,4.13,15287,United Kingdom
577482,23583,LUNCH BAG PAISLEY PARK  ,5,2011-11-20 11:43:00,1.65,16762,United Kingdom
547803,23052,RECYCLED ACAPULCO MAT TURQUOISE,2,2011-03-25 13:23:00,8.25,13662,United Kingdom
572860,84755,COLOUR GLASS T-LIGHT HOLDER HANGING,16,2011-10-26 12:42:00,0.65,17470,United Kingdom
536412,85049E,SCANDINAVIAN REDS RIBBONS,1,2010-12-01 11:49:00,1.25,17920,United Kingdom
566708,22111,SCOTTIE DOG HOT WATER BOTTLE,24,2011-09-14 11:55:00,4.25,13078,United Kingdom
556216,21533,RETROSPOT LARGE MILK JUG,3,2011-06-09 14:15:00,4.95,15252,United Kingdom
571931,22380,TOY TIDY SPACEBOY  ,1,2011-10-19 16:59:00,4.13,15287,United Kingdom
542107,21212,PACK OF 72 RETROSPOT CAKE CASES,1,2011-01-25 13:38:00,0.55,16222,United Kingdom
557324,22318,FIVE HEART HANGING DECORATION,1,2011-06-20 09:41:00,5.79,15287,United Kingdom
573245,79321,CHILLI LIGHTS,6,2011-10-28 12:08:00,5.75,17841,United Kingdom
581538,23041,PAPER LANTERN 9 POINT SNOW STAR,3,2011-12-09 11:34:00,4.15,14446,United Kingdom
550522,22138,BAKING SET 9 PIECE RETROSPOT ,3,2011-04-19 10:04:00,4.95,12947,United Kingdom
556283,21791,VINTAGE HEADS AND TAILS CARD GAME ,12,2011-06-10 08:50:00,1.25,15628,United Kingdom
550016,22367,CHILDRENS APRON SPACEBOY DESIGN,8,2011-04-14 10:54:00,1.95,15416,United Kingdom
547841,82482,WOODEN PICTURE FRAME WHITE FINISH,12,2011-03-27 11:02:00,2.55,16923,United Kingdom
536876,22620,4 TRADITIONAL SPINNING TOPS,5,2010-12-03 11:36:00,2.51,15287,United Kingdom
567111,22950,36 DOILIES VINTAGE CHRISTMAS,12,2011-09-16 13:37:00,1.45,17663,United Kingdom
549964,22066,LOVE HEART TRINKET POT,48,2011-04-13 14:12:00,0.39,13122,United Kingdom
574479,22186,RED STAR CARD HOLDER,4,2011-11-04 12:39:00,1.95,18035,United Kingdom
544091,21668,RED STRIPE CERAMIC DRAWER KNOB,12,2011-02-16 08:37:00,1.25,14897,United Kingdom
546991,22402,MAGNETS PACK OF 4 VINTAGE COLLAGE,6,2011-03-18 13:08:00,1.25,12748,United Kingdom
567170,85099B,JUMBO BAG RED RETROSPOT,2,2011-09-18 12:40:00,2.08,13566,United Kingdom
581439,20725,LUNCH BAG RED RETROSPOT,3,2011-12-08 16:30:00,4.13,15287,United Kingdom
570650,23355,HOT WATER BOTTLE KEEP CALM,2,2011-10-11 13:13:00,4.95,13263,United Kingdom
572300,22423,REGENCY CAKESTAND 3 TIER,2,2011-10-23 14:40:00,12.75,18005,United Kingdom
537641,15056n,EDWARDIAN PARASOL NATURAL,2,2010-12-07 15:32:00,12.72,15287,United Kingdom
540469,22745,POPPY'S PLAYHOUSE BEDROOM ,3,2011-01-07 14:04:00,2.1,12484,Spain
C568532,23172,REGENCY TEA PLATE PINK,-1,2011-09-27 13:54:00,1.65,14356,United Kingdom
556521,22796,PHOTO FRAME 3 CLASSIC HANGING,1,2011-06-13 11:15:00,9.95,14573,United Kingdom
577404,23083,SET 6 PAPER TABLE LANTERN STARS ,12,2011-11-20 10:16:00,3.75,17243,United Kingdom
560433,22355,CHARLOTTE BAG SUKI DESIGN,5,2011-07-18 15:49:00,0.85,15287,United Kingdom
559884,85183A,CHARLIE & LOLA WASTEPAPER BIN BLUE,12,2011-07-13 11:34:00,1.25,16843,United Kingdom
545815,22291,HANGING CHICK CREAM DECORATION,24,2011-03-07 12:26:00,1.45,14012,United Kingdom
C577547,21925,UNION STRIPE CUSHION COVER ,-1,2011-11-20 14:48:00,1.25,17841,United Kingdom
566901,23293,SET OF 12 FAIRY CAKE BAKING CASES,8,2011-09-15 13:54:00,0.83,17434,United Kingdom
567373,23431,NATURAL HANGING QUILTED HEARTS ,12,2011-09-20 09:31:00,0.83,16700,United Kingdom
552715,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,4,2011-05-11 09:35:00,3.75,12921,United Kingdom
581474,16225,RATTLE SNAKE EGGS,1,2011-12-08 20:01:00,0.39,12748,United Kingdom
567424,23229,VINTAGE DONKEY TAIL GAME ,1,2011-09-20 11:16:00,3.75,16369,United Kingdom
539479,22107,PIZZA PLATE IN BOX,1,2010-12-19 15:20:00,3.75,15287,United Kingdom
578686,22493,PAINT YOUR OWN CANVAS SET,12,2011-11-25 09:18:00,1.65,13050,United Kingdom
575652,90184A,AMBER CHUNKY BEAD BRACELET W STRAP,1,2011-11-10 14:28:00,8.95,12748,United Kingdom
547134,23178,JAM CLOCK MAGNET,2,2011-03-21 11:57:00,2.89,15996,United Kingdom
561195,23345, DOLLY GIRL BEAKER,2,2011-07-25 13:57:00,1.25,14796,United Kingdom
560723,22077,6 RIBBONS RUSTIC CHARM,2,2011-07-20 13:53:00,1.65,16464,United Kingdom
541973,22553,PLASTERS IN TIN SKULLS,12,2011-01-24 14:01:00,1.65,16730,United Kingdom
569405,22046,TEA PARTY  WRAPPING PAPER ,25,2011-10-04 09:05:00,0.42,15241,United Kingdom
574704,82482,WOODEN PICTURE FRAME WHITE FINISH,6,2011-11-06 14:02:00,2.95,15696,United Kingdom
553061,22505,MEMO BOARD COTTAGE DESIGN,1,2011-05-13 11:12:00,4.95,17238,United Kingdom
554080,23151,ZINC SWEETHEART SOAP DISH,1,2011-05-22 11:42:00,2.49,16931,United Kingdom
549829,82583,HOT BATHS METAL SIGN,12,2011-04-12 12:56:00,2.1,16713,United Kingdom
576147,23207,LUNCH BAG ALPHABET DESIGN,10,2011-11-14 10:49:00,1.65,16303,United Kingdom
539920,85123A,WHITE HANGING HEART T-LIGHT HOLDER,4,2010-12-23 11:06:00,2.95,14085,United Kingdom
557009,22432,WATERING CAN PINK BUNNY,6,2011-06-16 11:38:00,1.95,14321,United Kingdom
545658,21791,VINTAGE HEADS AND TAILS CARD GAME ,1,2011-03-04 14:13:00,1.25,14670,United Kingdom
562553,22751,FELTCRAFT PRINCESS OLIVIA DOLL,1,2011-08-05 16:34:00,7.46,15287,United Kingdom
537823,21147,JINGLE BELLS TREE DECORATION,2,2010-12-08 14:25:00,2.51,15287,United Kingdom
569520,22925,BLUE GIANT GARDEN THERMOMETER,2,2011-10-04 14:32:00,5.95,17667,United Kingdom
579471,22844,VINTAGE CREAM DOG FOOD CONTAINER,2,2011-11-29 15:08:00,16.63,15287,United Kingdom
546510,23180,MUM'S KITCHEN CLOCK,4,2011-03-14 12:17:00,4.95,16353,United Kingdom
573122,21977,PACK OF 60 PINK PAISLEY CAKE CASES,3,2011-10-27 16:23:00,0.55,14357,United Kingdom
565763,22950,36 DOILIES VINTAGE CHRISTMAS,144,2011-09-06 14:09:00,1.25,14739,United Kingdom
571498,22665,RECIPE BOX BLUE SKETCHBOOK DESIGN,1,2011-10-17 15:06:00,2.95,17841,United Kingdom
576593,23046,PAPER LANTERN 9 POINT DELUXE STAR,2,2011-11-15 14:48:00,6.65,15720,United Kingdom
551385,21900,"KEY FOB , SHED",4,2011-04-28 11:38:00,0.65,16814,United Kingdom
577071,23100,SILVER BELLS TABLE DECORATION,3,2011-11-17 14:56:00,1.25,13969,United Kingdom
575848,22865,HAND WARMER OWL DESIGN,3,2011-11-11 12:10:00,2.1,14178,United Kingdom
542519,82494L,WOODEN FRAME ANTIQUE WHITE ,12,2011-01-28 12:19:00,2.95,15159,United Kingdom
569869,22775,PURPLE DRAWERKNOB ACRYLIC EDWARDIAN,36,2011-10-06 14:59:00,1.25,15287,United Kingdom
576948,23395,BELLE JARDINIERE CUSHION COVER,4,2011-11-17 11:45:00,3.75,14515,United Kingdom
552672,21430,SET/3 RED GINGHAM ROSE STORAGE BOX,1,2011-05-10 15:06:00,7.46,15287,United Kingdom
573551,21352,EUCALYPTUS & PINECONE  WREATH,4,2011-10-31 13:35:00,2.95,15044,United Kingdom
546888,21781,MA CAMPAGNE CUTLERY BOX,1,2011-03-17 18:15:00,29.13,15287,United Kingdom
573381,22155,STAR DECORATION RUSTIC,5,2011-10-30 14:05:00,0.42,17590,United Kingdom
546977,48184,DOORMAT ENGLISH ROSE ,1,2011-03-18 12:08:00,14.13,15287,United Kingdom
546769,22224,WHITE LOVEBIRD LANTERN,6,2011-03-16 14:57:00,2.95,17504,United Kingdom
571441,82567,"AIRLINE LOUNGE,METAL SIGN",4,2011-10-17 13:31:00,1.63,14096,United Kingdom
545657,22197,SMALL POPCORN HOLDER,12,2011-03-04 14:02:00,0.85,14911,EIRE
547720,22788,BROCANTE COAT RACK,4,2011-03-25 10:08:00,9.95,14209,United Kingdom
566408,22623,BOX OF VINTAGE JIGSAW BLOCKS ,1,2011-09-12 13:43:00,5.95,16984,United Kingdom
550474,84596B,SMALL DOLLY MIX DESIGN ORANGE BOWL,6,2011-04-18 13:58:00,0.83,15287,United Kingdom
562878,84660B,BLACK STITCHED WALL CLOCK,1,2011-08-10 10:45:00,0.79,16241,United Kingdom
545415,22382,LUNCH BAG SPACEBOY DESIGN ,10,2011-03-02 13:03:00,1.65,15641,United Kingdom
559802,21929,JUMBO BAG PINK VINTAGE PAISLEY,3,2011-07-12 13:48:00,4.13,15287,United Kingdom
539994,22830,,-1,2011-01-04 10:09:00,0.0,15287,United Kingdom
581149,22363,GLASS JAR MARMALADE ,1,2011-12-07 14:12:00,2.95,15471,United Kingdom
561868,21932,SCANDINAVIAN PAISLEY PICNIC BAG,2,2011-07-31 11:26:00,1.65,16813,United Kingdom
545188,22727,ALARM CLOCK BAKELIKE RED ,1,2011-02-28 15:19:00,3.75,14056,United Kingdom
550207,22654,DELUXE SEWING KIT ,1,2011-04-15 10:38:00,12.46,15287,United Kingdom
569406,79321,CHILLI LIGHTS,8,2011-10-04 09:09:00,5.75,16253,United Kingdom
539453,22630,DOLLY GIRL LUNCH BOX,4,2010-12-17 17:08:00,4.21,15287,United Kingdom
565675,22697,GREEN REGENCY TEACUP AND SAUCER,6,2011-09-06 09:51:00,2.95,15513,United Kingdom
553702,79026B,"S/4 ICON COASTER,ELVIS LIVES",1,2011-05-18 14:50:00,0.39,13263,United Kingdom
538827,21484,CHICK GREY HOT WATER BOTTLE,12,2010-12-14 12:59:00,2.95,14298,United Kingdom
559038,20719,WOODLAND CHARLOTTE BAG,34,2011-07-05 15:31:00,2.46,15287,United Kingdom
577058,21068,VINTAGE BILLBOARD LOVE/HATE MUG,1,2011-11-17 14:29:00,1.25,18122,United Kingdom
558696,23199,JUMBO BAG APPLES,10,2011-07-01 12:09:00,2.08,16746,United Kingdom
557350,22386,JUMBO BAG PINK POLKADOT,10,2011-06-20 10:41:00,2.08,16670,United Kingdom
578041,22114,HOT WATER BOTTLE TEA AND SYMPATHY,2,2011-11-22 14:23:00,4.25,17338,United Kingdom
550964,20676,RED RETROSPOT BOWL,12,2011-04-21 16:48:00,1.25,15856,United Kingdom
538071,22296,HEART IVORY TRELLIS LARGE,1,2010-12-09 14:09:00,3.36,15287,United Kingdom
557875,22432,WATERING CAN PINK BUNNY,6,2011-06-23 13:09:00,1.95,13300,United Kingdom
575477,23491,VINTAGE JINGLE BELLS HEART,1,2011-11-09 16:14:00,16.63,15287,United Kingdom
554917,21524,DOORMAT SPOTTY HOME SWEET HOME,2,2011-05-27 12:29:00,7.95,15104,United Kingdom
540977,22571,ROCKING HORSE RED CHRISTMAS ,3,2011-01-12 15:01:00,1.66,15287,United Kingdom
566276,22667,RECIPE BOX RETROSPOT ,6,2011-09-11 14:00:00,2.95,13450,United Kingdom
550779,20749,ASSORTED COLOUR MINI CASES,12,2011-04-20 13:36:00,6.35,17511,United Kingdom
557972,15056N,EDWARDIAN PARASOL NATURAL,1,2011-06-24 10:16:00,5.95,12500,Germany
557643,22139,RETROSPOT TEA SET CERAMIC 11 PC ,1,2011-06-21 16:36:00,10.79,15287,United Kingdom
578675,84945,MULTI COLOUR SILVER T-LIGHT HOLDER,36,2011-11-24 18:13:00,0.85,14756,United Kingdom
562143,22940,FELTCRAFT CHRISTMAS FAIRY,48,2011-08-03 10:41:00,3.75,16422,United Kingdom
568712,21523,DOORMAT FANCY FONT HOME SWEET HOME,1,2011-09-28 15:50:00,8.25,17841,United Kingdom
547366,22639,SET OF 4 NAPKIN CHARMS HEARTS,6,2011-03-22 13:02:00,2.55,12831,United Kingdom
578359,85099B,JUMBO BAG RED RETROSPOT,100,2011-11-24 10:35:00,1.79,14607,United Kingdom
557619,22844,VINTAGE CREAM DOG FOOD CONTAINER,1,2011-06-21 13:58:00,8.5,17757,United Kingdom
561113,23103,JINGLE BELL HEART DECORATION,5,2011-07-25 12:09:00,1.65,17841,United Kingdom
561020,22624,IVORY KITCHEN SCALES,1,2011-07-22 17:21:00,8.5,13563,United Kingdom
578781,23255,CHILDRENS CUTLERY CIRCUS PARADE,1,2011-11-25 11:54:00,4.15,15872,United Kingdom
578020,23103,JINGLE BELL HEART DECORATION,12,2011-11-22 13:20:00,1.65,16979,United Kingdom
579147,21166,COOK WITH WINE METAL SIGN ,2,2011-11-28 13:20:00,2.08,13263,United Kingdom
548801,22149,FELTCRAFT 6 FLOWER FRIENDS,6,2011-04-04 12:44:00,2.1,15289,United Kingdom
555574,21084,SET/6 COLLAGE PAPER CUPS,24,2011-06-05 15:46:00,0.19,12417,Belgium
540026,10125,MINI FUNKY DESIGN TAPES,15,2011-01-04 13:25:00,0.81,15287,United Kingdom
561897,23147,SINGLE ANTIQUE ROSE HOOK IVORY,4,2011-07-31 15:24:00,1.45,17841,United Kingdom
537441,85174,S/4 CACTI CANDLES,2,2010-12-06 17:26:00,4.95,13564,United Kingdom
549295,22158,3 HEARTS HANGING DECORATION RUSTIC,1,2011-04-07 19:49:00,5.79,15287,United Kingdom
581217,23504,PLAYING CARDS JUBILEE UNION JACK,1,2011-12-08 09:20:00,2.46,15287,United Kingdom
565733,22847,BREAD BIN DINER STYLE IVORY,2,2011-09-06 12:11:00,16.95,16359,United Kingdom
567473,22953,BIRTHDAY PARTY CORDON BARRIER TAPE,1,2011-09-20 12:50:00,1.25,17841,United Kingdom
567533,23203,JUMBO BAG VINTAGE DOILY ,10,2011-09-21 09:45:00,2.08,17651,United Kingdom
572549,22653,BUTTON BOX ,2,2011-10-24 17:03:00,1.63,15287,United Kingdom
540552,21363,HOME SMALL WOOD LETTERS,3,2011-01-10 09:44:00,4.95,16350,United Kingdom
537434,21329,DINOSAURS  WRITING SET ,3,2010-12-06 16:57:00,3.36,15287,United Kingdom
569846,23343,JUMBO BAG VINTAGE CHRISTMAS ,10,2011-10-06 13:42:00,2.08,13422,United Kingdom
560692,21733,RED HANGING HEART T-LIGHT HOLDER,1,2011-07-20 12:01:00,2.95,14704,United Kingdom
548496,22492,MINI PAINT SET VINTAGE ,72,2011-03-31 13:40:00,0.65,12678,France
571441,21470,FLOWER VINE RAFFIA FOOD COVER,1,2011-10-17 13:31:00,7.46,14096,United Kingdom
570249,22141,CHRISTMAS CRAFT TREE TOP ANGEL,6,2011-10-10 08:58:00,2.1,17509,United Kingdom
564661,47593B,SCOTTIE DOGS BABY BIB,48,2011-08-26 14:45:00,0.39,12948,United Kingdom
565649,22261,FELT EGG COSY WHITE RABBIT ,3,2011-09-05 16:27:00,0.85,16712,United Kingdom
572680,21591,COSY HOUR CIGAR BOX MATCHES ,10,2011-10-25 13:48:00,1.25,15287,Portugal
565396,22386,JUMBO BAG PINK POLKADOT,1,2011-09-02 16:39:00,4.13,15287,United Kingdom
562711,23172,REGENCY TEA PLATE PINK,2,2011-08-08 14:53:00,1.65,16788,United Kingdom
540915,22798,ANTIQUE GLASS DRESSING TABLE POT,8,2011-01-12 12:00:00,2.95,13267,United Kingdom
565233,21261,GREEN GOOSE FEATHER CHRISTMAS TREE ,1,2011-09-02 09:34:00,7.46,15287,United Kingdom
569232,21479,WHITE SKULL HOT WATER BOTTLE ,2,2011-10-02 15:26:00,4.25,16667,United Kingdom
545333,22969,HOMEMADE JAM SCENTED CANDLES,1,2011-03-01 16:22:00,3.29,15287,United Kingdom
573420,22423,REGENCY CAKESTAND 3 TIER,3,2011-10-31 09:48:00,12.75,18223,United Kingdom
555257,22629,SPACEBOY LUNCH BOX ,1,2011-06-01 15:28:00,1.95,17596,United Kingdom
580399,22558,CLOTHES PEGS RETROSPOT PACK 24 ,2,2011-12-04 11:45:00,1.65,13471,United Kingdom
559689,23122,PARTY CHARMS 50 PIECES,1,2011-07-11 15:46:00,0.83,15287,United Kingdom
569211,23405,HOME SWEET HOME 2 DRAWER CABINET,4,2011-10-02 12:04:00,4.95,15774,United Kingdom
558759,21504,SKULLS GREETING CARD,12,2011-07-03 12:36:00,0.42,13148,United Kingdom
569202,22335,HEART DECORATION PAINTED ZINC ,1,2011-09-30 17:22:00,1.25,15287,United Kingdom
541686,23231,WRAP DOILEY DESIGN,25,2011-01-20 15:42:00,0.42,16912,United Kingdom
579840,22661,CHARLOTTE BAG DOLLY GIRL DESIGN,10,2011-11-30 16:19:00,0.85,18158,United Kingdom
549949,47481,50CM METAL STRING WITH  7 CLIPS,2,2011-04-13 12:57:00,0.85,13208,United Kingdom
560773,22468,BABUSHKA LIGHTS STRING OF 10,1,2011-07-20 16:17:00,13.29,15287,United Kingdom
545176,20652,BLUE POLKADOT LUGGAGE TAG ,3,2011-02-28 14:19:00,0.0,15287,United Kingdom
550208,22041,"RECORD FRAME 7"" SINGLE SIZE ",3,2011-04-15 10:39:00,4.96,15287,United Kingdom
550317,20971,PINK BLUE FELT CRAFT TRINKET BOX,12,2011-04-17 11:56:00,1.25,15172,United Kingdom
539437,22571,ROCKING HORSE RED CHRISTMAS ,1,2010-12-17 14:54:00,1.66,15287,United Kingdom
569481,23545,WRAP RED VINTAGE DOILY,25,2011-10-04 12:43:00,0.42,15255,United Kingdom
575751,22865,HAND WARMER OWL DESIGN,12,2011-11-11 10:32:00,2.1,14911,EIRE
566985,21426,WOODLAND STORAGE BOX SMALL,2,2011-09-16 10:42:00,4.96,15287,United Kingdom
C549692,21668,RED STRIPE CERAMIC DRAWER KNOB,-1,2011-04-11 13:43:00,1.06,13668,United Kingdom
554938,20723,STRAWBERRY CHARLOTTE BAG,20,2011-05-27 13:34:00,0.85,12876,Belgium
574677,20992,JAZZ HEARTS PURSE NOTEBOOK,4,2011-11-06 12:32:00,0.39,16445,United Kingdom
575040,23013,GLASS APOTHECARY BOTTLE TONIC,4,2011-11-08 11:58:00,3.95,13381,United Kingdom
541969,21870,I CAN ONLY PLEASE ONE PERSON MUG,1,2011-01-24 13:46:00,3.29,15287,United Kingdom
573888,21985,PACK OF 12 HEARTS DESIGN TISSUES ,24,2011-11-01 13:43:00,0.39,17696,United Kingdom
