,year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,saledate
82656,2010,Honda,Civic,LX,Coupe,automatic,2hgfg1b63ah528952,md,28.0,68612.0,gray,gray,santander consumer,7025.0,7600.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
116456,2007,Ford,Explorer Sport Trac,XLT,Crew Cab,automatic,1fmeu31k17ua15780,oh,32.0,76765.0,white,tan,159191 canada inc,9475.0,9500.0,Tue Jan 13 2015 00:00:00 GMT-0800 (PST)
556382,2003,Toyota,Matrix,Base,wagon,,2t1kr32e53c058317,ca,31.0,123940.0,gray,gray,trade in solutions,3100.0,3900.0,Wed Jun 17 2015 05:15:00 GMT-0700 (PDT)
38756,2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap7cc829019,il,43.0,31838.0,silver,black,nissan-infiniti lt,17000.0,16800.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
373826,2013,Kia,Soul,+,Wagon,automatic,kndjt2a65d7548891,tx,42.0,55164.0,white,black,kia motors finance,11050.0,11500.0,Wed Mar 04 2015 02:30:00 GMT-0800 (PST)
489352,2012,Nissan,Sentra,2.0 SR,sedan,automatic,3n1ab6ap3cl728600,wi,36.0,17354.0,black,gray,nissan-infiniti lt,10650.0,10800.0,Wed Jun 03 2015 03:00:00 GMT-0700 (PDT)
369068,2014,Infiniti,Q50,Premium,Sedan,automatic,jn1bv7ar8em691765,fl,47.0,15760.0,black,black,nissan infiniti lt,29300.0,29400.0,Wed Mar 04 2015 01:00:00 GMT-0800 (PST)
355370,2013,Honda,Accord,LX,Sedan,automatic,1hgcr2f37da082830,il,39.0,24452.0,black,tan,wells fargo dealer services,15900.0,15700.0,Thu Feb 26 2015 02:00:00 GMT-0800 (PST)
306017,2015,Mazda,CX-5,Touring,SUV,automatic,jm3ke4cy6f0439206,ca,43.0,22425.0,gray,black,enterprise veh exchange/rental,20400.0,20000.0,Thu Feb 12 2015 03:30:00 GMT-0800 (PST)
505668,2008,Ford,F-150,XLT,supercrew,automatic,1ftrw12w58fb68383,tx,29.0,89119.0,black,gray,pro financial inc,12900.0,12300.0,Wed Jun 10 2015 03:20:00 GMT-0700 (PDT)
66498,2007,BMW,3 Series,335i,Sedan,automatic,wbavb73527vf52192,fl,29.0,85134.0,green,brown,miscellaneous marshalling-manheim lakeland,9950.0,7500.0,Tue Dec 30 2014 15:02:00 GMT-0800 (PST)
238101,2013,Ford,C-Max Energi,SEL,Wagon,automatic,1fadp5cu9dl514979,fl,39.0,44488.0,gray,tan,northwestern chrys/j/d/ge,13850.0,13100.0,Wed Feb 04 2015 01:00:00 GMT-0800 (PST)
51158,2013,Ford,Focus,SE,Hatchback,automatic,1fadp3k24dl191283,fl,2.0,81066.0,white,black,remarketing by ge/nextgear capital,9125.0,2500.0,Tue Dec 30 2014 09:30:00 GMT-0800 (PST)
454143,2012,Volkswagen,Jetta,SE,Sedan,automatic,3vwdx7aj4cm389897,fl,37.0,45598.0,black,black,auto depot of orlando inc,9500.0,10700.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
481664,2014,Toyota,Corolla,LE,sedan,automatic,2t1burhe5ec046695,fl,43.0,34622.0,gray,gray,world omni financial corporation,12500.0,12400.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
205674,1998,Ford,Mustang,Base,Convertible,automatic,1fafp444xwf227184,fl,19.0,157808.0,red,gray,coggin deland honda,1125.0,700.0,Tue Feb 10 2015 10:00:00 GMT-0800 (PST)
37258,2012,Hyundai,Sonata,Limited,Sedan,,5npec4ab8ch391586,pa,48.0,30998.0,white,black,hyundai motor finance,16100.0,15900.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
271290,2014,Dodge,Grand Caravan,SXT,minivan,automatic,2c4rdgcg8er212722,mo,45.0,40076.0,white,brown,avis corporation,16100.0,16200.0,Tue Feb 10 2015 03:00:00 GMT-0800 (PST)
506918,2013,Chevrolet,Equinox,LTZ,suv,automatic,2gnflgek5d6382731,nv,41.0,61563.0,white,black,the hertz corporation,15200.0,15000.0,Fri Jun 05 2015 05:00:00 GMT-0700 (PDT)
310043,2012,Nissan,Altima,3.5 SR,Sedan,automatic,1n4bl2ap7cn407561,mo,34.0,43575.0,black,black,nissan-infiniti lt,13400.0,14400.0,Wed Feb 18 2015 02:30:00 GMT-0800 (PST)
437947,2014,Chevrolet,Impala,LTZ,Sedan,automatic,2g1155s32e9294436,il,3.0,21611.0,gray,gray,gm remarketing,24900.0,25300.0,Thu May 28 2015 04:00:00 GMT-0700 (PDT)
269888,2007,Ford,Edge,SEL Plus,SUV,automatic,2fmdk39c17bb17343,in,35.0,103090.0,orange,tan,santander consumer,8450.0,10500.0,Thu Feb 12 2015 02:10:00 GMT-0800 (PST)
183565,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2apxcn505754,nj,35.0,11860.0,gray,black,nissan-infiniti lt,13300.0,13800.0,Wed Jan 28 2015 02:00:00 GMT-0800 (PST)
464134,2014,Jeep,Cherokee,Sport,SUV,,1c4pjlab2ew318722,tx,47.0,25806.0,white,black,chrysler capital,15950.0,16100.0,Thu May 28 2015 03:30:00 GMT-0700 (PDT)
37532,2012,Infiniti,QX,QX56,SUV,automatic,jn8az2nc2c9316383,pa,44.0,31227.0,white,beige,adcock brothers inc,45500.0,47500.0,Fri Dec 19 2014 09:00:00 GMT-0800 (PST)
372206,2006,Jeep,Commander,Base,SUV,automatic,1j8hg48n86c192452,nc,19.0,138118.0,green,gray,santander consumer,5225.0,4700.0,Mon Mar 02 2015 01:30:00 GMT-0800 (PST)
241544,2013,Lincoln,MKS,Base,Sedan,automatic,1lnhl9dk0dg605932,tx,44.0,16746.0,white,beige,texas auto brokers,23300.0,23300.0,Wed Feb 25 2015 02:00:00 GMT-0800 (PST)
278787,2011,Hyundai,Sonata Hybrid,Base,Sedan,automatic,kmhec4a41ba018604,ne,48.0,79365.0,black,gray,performance toyota-scion of lincoln,10300.0,11900.0,Thu Feb 12 2015 03:00:00 GMT-0800 (PST)
440484,2013,Ford,Explorer,XLT,SUV,automatic,1fm5k8d85dga43546,ny,31.0,36708.0,black,black,ford motor credit company llc,25200.0,23800.0,Wed May 27 2015 02:20:00 GMT-0700 (PDT)
4285,2005,Nissan,Altima,2.5 S,Sedan,automatic,1n4al11d55c265608,ca,2.0,211406.0,black,gray,repo remarketing/coast hills fcu,1625.0,900.0,Wed Dec 17 2014 11:00:00 GMT-0800 (PST)
354695,2014,Dodge,Grand Caravan,SE,Minivan,automatic,2c4rdgbgxer260661,fl,29.0,31507.0,blue,black,ez rent a car inc,15000.0,12900.0,Tue Feb 24 2015 01:00:00 GMT-0800 (PST)
365919,2014,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g11a5sl0ef281011,co,3.0,23124.0,silver,gray,gm remarketing,13900.0,13900.0,Tue Mar 10 2015 04:30:00 GMT-0700 (PDT)
28702,2000,Ford,F-150,XL,Extended Cab,,1ftzx1722ynb38007,nj,19.0,98273.0,gray,gray,autolenders liquidation center,2825.0,1200.0,Wed Jan 14 2015 01:30:00 GMT-0800 (PST)
278852,2011,Infiniti,G Sedan,G25,G Sedan,automatic,jn1dv6ap1bm831331,ca,39.0,39306.0,black,black,nissan infiniti lt,16250.0,16500.0,Thu Feb 12 2015 04:30:00 GMT-0800 (PST)
173504,2007,Chevrolet,Impala,LT,Sedan,automatic,2g1wt58k279226201,mi,19.0,147967.0,silver,black,dt credit corporation,3475.0,2700.0,Thu Jan 22 2015 01:30:00 GMT-0800 (PST)
362803,2011,Chevrolet,Camaro,2LT,Coupe,automatic,2g1fc1ed7b9129762,mo,26.0,24323.0,gray,black,sellers sexton inc,18350.0,18500.0,Wed Feb 25 2015 02:30:00 GMT-0800 (PST)
463486,2013,Nissan,Leaf,S,hatchback,automatic,1n4az0cp3dc403693,wa,45.0,29940.0,black,black,nissan-infiniti lt,7850.0,7300.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
117949,2005,Volkswagen,Jetta,GLS,Sedan,automatic,3vwsk69m45m022239,fl,22.0,191874.0,silver,black,autonation toyota fort myers,1600.0,1500.0,Tue Jan 20 2015 10:00:00 GMT-0800 (PST)
484095,2011,Jeep,Grand Cherokee,Limited,suv,automatic,1j4rr5gt5bc501200,pa,35.0,95652.0,black,tan,r hollenshead auto sales inc,19250.0,18400.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
4188,2005,Dodge,Ram Pickup 1500,SLT,Quad Cab,automatic,1d7ha18d85s207394,ca,19.0,195323.0,red,black,titlemax/tyler tx1,4350.0,1400.0,Tue Jan 06 2015 12:00:00 GMT-0800 (PST)
216610,2013,Ford,Escape,SE,SUV,,1fmcu9gx8duc82858,pa,42.0,13941.0,gray,gray,ford motor credit company llc,16450.0,19400.0,Thu Jul 02 2015 07:00:00 GMT-0700 (PDT)
430156,2013,smart,fortwo,pure coupe,Hatchback,automatic,wmeej3ba9dk595100,ca,46.0,1444.0,gray,red,mercedes-benz financial services,6875.0,7250.0,Thu May 21 2015 05:30:00 GMT-0700 (PDT)
74962,2012,Nissan,Altima,2.5 S,Sedan,,1n4al2ap8cn488744,pa,34.0,19410.0,black,black,nissan-infiniti lt,13250.0,11800.0,Fri Jan 09 2015 09:00:00 GMT-0800 (PST)
170758,2009,Dodge,Challenger,SE,Coupe,automatic,2b3lj44vx9h560982,mo,36.0,75532.0,black,black,exeter finance corp,12650.0,12600.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
54994,2014,Chevrolet,Impala Limited,LTZ Fleet,Sedan,automatic,2g1wc5e31e1149703,fl,3.0,15545.0,silver,black,gm remarketing,14850.0,14800.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
132224,2014,Kia,Soul,Base,Wagon,automatic,kndjn2a2xe7721510,fl,24.0,6166.0,silver,black,santander consumer,13350.0,12000.0,Thu Feb 05 2015 01:35:00 GMT-0800 (PST)
271920,2015,Kia,Forte,LX,Sedan,,knafx4a63f5311222,ga,48.0,2211.0,blue,black,kia motors finance,13100.0,13700.0,Thu Feb 12 2015 02:00:00 GMT-0800 (PST)
418585,2012,Toyota,RAV4,Base,SUV,automatic,2t3zf4dv8cw113021,fl,33.0,32386.0,silver,gray,world omni financial corporation,14600.0,13400.0,Tue Jun 02 2015 02:30:00 GMT-0700 (PDT)
481604,2014,Kia,Optima,LX,sedan,automatic,5xxgm4a79eg298561,tn,4.0,33040.0,brown,tan,avis corporation,13400.0,13600.0,Wed Jun 03 2015 03:30:00 GMT-0700 (PDT)
392556,2003,BMW,7 Series,760Li,Sedan,automatic,wbagn83493dk10118,ga,2.0,105708.0,black,black,carworks inc,6075.0,9800.0,Tue Mar 03 2015 05:00:00 GMT-0800 (PST)
252458,2008,Toyota,Sienna,LE 7-Passenger,Minivan,automatic,5tdzk23c68s169354,ga,26.0,96446.0,black,gray,capital one auto finance,7150.0,9100.0,Tue Feb 10 2015 01:30:00 GMT-0800 (PST)
250894,2011,Hyundai,Sonata,GLS,Sedan,automatic,5npeb4ac2bh040974,nc,29.0,82374.0,blue,gray,hendrick chevrolet cadillac,8475.0,8900.0,Wed Feb 11 2015 06:00:00 GMT-0800 (PST)
353899,2006,Hyundai,Elantra,GLS,Sedan,automatic,kmhdn46d36u233839,ma,19.0,207900.0,silver,gray,bmw of cape cod,475.0,300.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
320426,2007,Lincoln,Mark LT,Base,Crew Cab,automatic,5ltpw185x7fj01067,nc,19.0,140668.0,black,tan,atlantic coast remarketing/pagi,13350.0,12200.0,Mon Feb 16 2015 01:30:00 GMT-0800 (PST)
475325,2012,Chevrolet,Cruze,1LT,sedan,automatic,1g1pf5sc2c7383218,nc,23.0,52611.0,white,black,the hertz corporation,9450.0,8500.0,Tue Jun 02 2015 02:15:00 GMT-0700 (PDT)
155636,2005,Nissan,Titan,LE,Crew Cab,automatic,1n6ba07a55n544330,tx,19.0,127343.0,black,gray,wells fargo dealer services,7750.0,7600.0,Wed Jan 21 2015 02:00:00 GMT-0800 (PST)
101660,2003,Nissan,Altima,2.5 SL,Sedan,automatic,1n4al11d73c114685,ma,19.0,118919.0,silver,black,boch new to you superstore,2175.0,2000.0,Thu Jan 08 2015 18:30:00 GMT-0800 (PST)
320843,2005,Chevrolet,Equinox,LT,SUV,automatic,2cndl73f856104702,wi,19.0,123138.0,blue,gray,napletons river oaks chrysler jeep dodge,3725.0,4050.0,Wed Feb 18 2015 02:00:00 GMT-0800 (PST)
281903,2014,Ford,Transit Connect,Wagon Titanium LWB,Minivan,automatic,nm0ge9g75e1149090,tn,46.0,10215.0,red,gray,ford motor credit company,21600.0,21200.0,Thu Mar 05 2015 03:00:00 GMT-0800 (PST)
104520,2012,Infiniti,M,M37x,Sedan,automatic,jn1by1arxcm395289,oh,42.0,58309.0,white,black,infiniti financial services,22600.0,22400.0,Tue Jan 13 2015 09:30:00 GMT-0800 (PST)
349109,2013,Kia,Forte,EX,Sedan,automatic,knafu4a21d5715476,fl,4.0,32864.0,black,black,santander consumer,10500.0,10900.0,Wed Feb 25 2015 01:05:00 GMT-0800 (PST)
178023,2006,Chrysler,PT Cruiser,Base,Wagon,automatic,3a4fy48b26t251821,ca,26.0,203101.0,blue,gray,aaero sweet company,1025.0,1500.0,Wed Jan 21 2015 03:30:00 GMT-0800 (PST)
305165,1999,,,,,automatic,4m2zu55p2xuj23651,tx,1.0,229813.0,white,gray,check into cash inc.,200.0,700.0,Tue Feb 17 2015 02:30:00 GMT-0800 (PST)
487454,2010,Acura,TSX,Base,sedan,,jh4cu2f68ac016048,pa,36.0,36585.0,white,tan,n & b motorworks inc,14850.0,16200.0,Fri May 29 2015 02:00:00 GMT-0700 (PDT)
172337,2013,Dodge,Avenger,SXT,Sedan,automatic,1c3cdzcb6dn759137,tn,5.0,42365.0,silver,gray,midtown motors,10650.0,10500.0,Wed Jan 21 2015 02:30:00 GMT-0800 (PST)
142394,2012,Volkswagen,CC,Sport,Sedan,automatic,wvwmn7an4ce540688,fl,2.0,28314.0,—,tan,vw credit,13700.0,12400.0,Wed Jan 21 2015 01:30:00 GMT-0800 (PST)
523670,2012,Lexus,IS 250,Base,sedan,automatic,jthbf5c28c5173918,ga,42.0,26479.0,gray,gray,lexus financial services,21600.0,23300.0,Thu Jun 11 2015 03:00:00 GMT-0700 (PDT)
106655,2006,Jeep,Liberty,Sport,SUV,automatic,1j4gl48k46w176066,oh,29.0,144070.0,gold,gray,wells fargo dealer services,3250.0,3500.0,Tue Jan 13 2015 12:00:00 GMT-0800 (PST)
312021,2007,Chevrolet,TrailBlazer,LT,SUV,automatic,1gndt13sx72271715,md,21.0,109965.0,white,gray,wells fargo dealer services,6025.0,5500.0,Tue Feb 17 2015 01:30:00 GMT-0800 (PST)
121481,2013,Ford,Fusion,Titanium,Sedan,automatic,3fa6p0k99dr211937,mo,43.0,17641.0,—,black,ford-lincoln dealer program,19550.0,19500.0,Tue Jan 13 2015 13:30:00 GMT-0800 (PST)
458528,2013,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap9dc842534,ga,36.0,56326.0,white,black,dollar thrifty automotive group,14100.0,15300.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
66650,2014,Dodge,Challenger,R/T,Coupe,automatic,2c3cdybt8eh108915,mi,48.0,9606.0,purple,gray,chrysler capital,24800.0,28000.0,Thu Jan 08 2015 01:30:00 GMT-0800 (PST)
452541,2013,Dodge,Grand Caravan,SXT,Minivan,automatic,2c4rdgcgxdr635946,ca,42.0,34593.0,white,black,avis corporation,13250.0,14000.0,Tue May 26 2015 05:45:00 GMT-0700 (PDT)
221674,2012,Honda,Accord,SE,Sedan,automatic,1hgcp2f67ca092594,il,35.0,32272.0,gray,black,ahfc/honda lease trust/hvt  inc. eot,13300.0,12800.0,Thu Feb 05 2015 02:00:00 GMT-0800 (PST)
48262,2003,Dodge,Durango,SLT Plus,SUV,automatic,1d4hr58z33f599876,ga,28.0,164988.0,silver,gray,automobile acceptance corp,1700.0,1400.0,Tue Dec 23 2014 13:00:00 GMT-0800 (PST)
77085,2007,BMW,3 Series,335i,Sedan,manual,wbavb735x7vf50867,fl,41.0,66348.0,black,black,lauderdale imports ltd bmw pembrok pines,11600.0,13100.0,Fri Jan 02 2015 09:35:00 GMT-0800 (PST)
305693,2014,Mercedes-Benz,C-Class,C250 Sport,Sedan,automatic,wddgf4hb0er314640,nv,42.0,14335.0,white,beige,mercedes-benz financial services,25300.0,24500.0,Thu Feb 19 2015 14:00:00 GMT-0800 (PST)
228397,2008,Cadillac,SRX,V6,SUV,,1gyee437680131981,pa,47.0,91512.0,white,tan,jpmorgan chase bank n.a.,8200.0,11200.0,Fri Feb 06 2015 01:00:00 GMT-0800 (PST)
542459,2001,Toyota,Highlander,V6,suv,automatic,jtehf21a210003841,nc,27.0,129560.0,silver,beige,hendrick honda,4400.0,5500.0,Wed Jun 17 2015 07:00:00 GMT-0700 (PDT)
522366,2012,Ford,Fusion,S,sedan,automatic,3fahp0ga4cr321644,sc,41.0,79354.0,—,beige,lease plan usa,8350.0,8500.0,Thu Jun 11 2015 02:30:00 GMT-0700 (PDT)
545246,2013,Kia,Sorento,EX,suv,automatic,5xyku4a24dg394607,nc,35.0,31678.0,black,black,meridian remarketing,21000.0,22800.0,Tue Jun 16 2015 02:15:00 GMT-0700 (PDT)
30581,2014,Toyota,4Runner,SR5,SUV,automatic,jtebu5jrxe5173618,mo,,13580.0,silver,—,conklin cars salina,30100.0,28250.0,Wed Dec 17 2014 10:30:00 GMT-0800 (PST)
214270,2004,BMW,3 Series,330Ci,Coupe,automatic,wbabd53404pl11222,ca,26.0,188200.0,silver,black,onemain rem/abi auto,2625.0,2500.0,Wed Feb 04 2015 04:30:00 GMT-0800 (PST)
63425,2012,Nissan,Maxima,3.5 SV,Sedan,automatic,1n4aa5ap6cc829173,fl,22.0,43702.0,blue,black,nissan motor acceptance corporation,16350.0,15800.0,Tue Jan 06 2015 01:30:00 GMT-0800 (PST)
66161,2014,Chrysler,300,S,Sedan,,2c3ccabg5eh252600,on,48.0,18671.0,white,black,chrysler canada inc,25800.0,25800.0,Tue Jan 27 2015 04:00:00 GMT-0800 (PST)
461901,2009,Toyota,RAV4,Sport,SUV,automatic,jtmbf32v79d008569,ma,27.0,112683.0,black,black,boch toyota/scion south,11950.0,9700.0,Tue May 26 2015 02:30:00 GMT-0700 (PDT)
332024,2013,Jeep,Grand Cherokee,SRT8,SUV,automatic,1c4rjfdj0dc616067,pa,36.0,15507.0,black,black,austintown chrysler dodge jeep inc,47300.0,47000.0,Wed Feb 18 2015 01:30:00 GMT-0800 (PST)
296007,2010,Buick,LaCrosse,CXL,Sedan,automatic,1g4gd5gg2af152942,tn,36.0,62654.0,black,tan,wholesale inc # 2,12350.0,14750.0,Wed Feb 11 2015 02:30:00 GMT-0800 (PST)
38502,2012,Nissan,Altima,2.5 S,Sedan,automatic,1n4al2ap2cc172266,il,28.0,35847.0,black,black,nissan-infiniti lt,12300.0,10900.0,Thu Dec 18 2014 10:00:00 GMT-0800 (PST)
198015,2013,Hyundai,Santa Fe,Sport,SUV,automatic,5xyztdlb7dg069416,tn,46.0,61118.0,silver,gray,ge fleet services for itself/servicer,16400.0,16600.0,Wed Jan 28 2015 02:30:00 GMT-0800 (PST)
24075,2004,Ford,F-350 Super Duty,XL,Crew Cab,automatic,1ftsw30p04ea19274,fl,,321730.0,white,gray,westlake financial services,1425.0,2000.0,Mon Dec 22 2014 09:30:00 GMT-0800 (PST)
203138,2011,Suzuki,Grand Vitara,Limited,SUV,automatic,js3te0d70b4100490,fl,34.0,22133.0,gray,black,suntrust bank,9025.0,11500.0,Wed Jan 28 2015 01:00:00 GMT-0800 (PST)
161741,2012,,,,,automatic,wbaka8c57ccy37808,ca,2.0,55268.0,black,tan,financial services remarketing (lease),31800.0,29500.0,Tue Jan 27 2015 04:30:00 GMT-0800 (PST)
520865,2013,Nissan,Rogue,S,suv,automatic,jn8as5mv5dw632775,sc,36.0,54979.0,off-white,gray,the hertz corporation,12300.0,12900.0,Thu Jun 11 2015 02:15:00 GMT-0700 (PDT)
357980,2013,Mercedes-Benz,GLK-Class,GLK350 4MATIC,SUV,automatic,wdcgg8jb4dg024284,mo,48.0,15140.0,white,black,tdaf remarketing,31300.0,31900.0,Tue Mar 03 2015 02:30:00 GMT-0800 (PST)
344123,2008,Pontiac,G6,GXP,Sedan,automatic,1g2zm577084262623,pa,42.0,103424.0,black,black,keith m motors,6250.0,7000.0,Tue Feb 24 2015 01:30:00 GMT-0800 (PST)
419037,2011,Chevrolet,Equinox,LT2,SUV,automatic,2cnflne5xb6399458,ca,37.0,62974.0,—,black,northwestern chrys/j/d/ge,15750.0,15000.0,Wed May 27 2015 05:30:00 GMT-0700 (PDT)
412254,2003,Pontiac,Grand Am,SE,Sedan,automatic,1g2ne52f73c275362,pa,37.0,93992.0,red,gray,honda north,1925.0,2700.0,Wed Apr 29 2015 05:00:00 GMT-0700 (PDT)
168104,2013,Cadillac,Escalade,Luxury,SUV,automatic,1gys4bef5dr146864,md,4.0,35001.0,black,black,remarketing by ge/manheim digital marketplace,43900.0,41000.0,Tue Jan 27 2015 01:30:00 GMT-0800 (PST)
280996,2004,Toyota,Land Cruiser,Base,SUV,automatic,jteht05j542052404,ca,35.0,132996.0,white,beige,aaero sweet company,14000.0,16200.0,Wed Feb 18 2015 03:30:00 GMT-0800 (PST)
237212,2013,Cadillac,SRX,Luxury,SUV,automatic,3gyfnce35ds559746,wi,38.0,49849.0,black,black,sutton ford/ge,20000.0,19100.0,Wed Feb 04 2015 02:30:00 GMT-0800 (PST)
550155,2012,Lexus,RX 350,Base,suv,automatic,2t2zk1ba8cc079968,wi,36.0,28536.0,gold,beige,lexus financial services,27000.0,25900.0,Wed Jun 17 2015 03:00:00 GMT-0700 (PDT)
372409,2005,Honda,Civic,EX,Sedan,automatic,1hges26795l011621,va,19.0,118586.0,silver,gray,rosner motors inc,4050.0,4100.0,Thu Mar 05 2015 01:35:00 GMT-0800 (PST)
238824,2013,Ford,Focus,SE,Sedan,automatic,1fadp3f25dl234944,mn,39.0,30756.0,red,black,ford motor credit company llc,10900.0,10500.0,Wed Feb 04 2015 02:00:00 GMT-0800 (PST)
